[2023-10-11 21:52:57 (EET)] 1 index 0.10000801086426s 1057.03KB 1093.31KB 
[2023-10-11 21:57:42 (EET)] 1 index 0.10068392753601s 1053.9KB 1090.18KB 
[2023-10-11 21:57:49 (EET)] 1 index 0.11570596694946s 1053.9KB 1090.18KB 
[2023-10-11 21:58:16 (EET)] 1 index 0.066492080688477s 1052.85KB 1089.13KB 
[2023-10-11 22:20:05 (EET)] 1 index 0.10555291175842s 1053.91KB 1090.19KB 
[2023-10-11 22:20:06 (EET)] 1 index 0.13082599639893s 1054.03KB 1090.31KB 
[2023-10-11 22:20:11 (EET)] 1 index 0.059037923812866s 1053.79KB 1090.07KB 
[2023-10-11 22:20:14 (EET)] 1 user-account/settings 0.076768159866333s 1055.53KB 1091.79KB 
[2023-10-11 22:20:17 (EET)] 1 index 0.064479827880859s 1063.39KB 1137.61KB 
[2023-10-11 22:20:24 (EET)] 1 acc/trs/lst 0.23749494552612s 1207.89KB 1517.54KB 
[2023-10-11 22:20:26 (EET)] 1 acc/report/save 0.043698072433472s 867.56KB 902.65KB 
[2023-10-11 22:22:01 (EET)] 1 acc/trs/lst 0.23900389671326s 1208.21KB 1517.9KB 
[2023-10-11 22:22:03 (EET)] 1 acc/report/load 0.62441802024841s 853.84KB 891.29KB 
[2023-10-11 22:22:06 (EET)] 1 acc/report/load 0.058397054672241s 853.84KB 891.29KB 
[2023-10-11 22:22:50 (EET)] 1 acc/trs/lst 0.13343191146851s 1208.09KB 1517.78KB 
[2023-10-11 22:22:51 (EET)] 1 index 0.091933012008667s 1063.36KB 1137.58KB 
[2023-10-11 22:22:53 (EET)] 1 index 0.067116975784302s 1062.38KB 1136.59KB 
[2023-10-11 22:22:59 (EET)] 1 index 0.067054986953735s 1062.38KB 1136.6KB 
[2023-10-11 22:23:01 (EET)] 1 index 0.093080043792725s 1062.38KB 1136.6KB 
[2023-10-11 22:23:02 (EET)] 1 index 0.060864925384521s 1062.51KB 1136.73KB 
[2023-10-11 22:23:04 (EET)] 1 index 0.10506200790405s 1062.38KB 1136.6KB 
[2023-10-11 22:23:04 (EET)] 1 index 0.079696178436279s 1062.51KB 1136.73KB 
[2023-10-11 22:23:05 (EET)] 1 index 0.067312002182007s 1062.51KB 1136.73KB 
[2023-10-11 22:23:05 (EET)] 1 index 0.0626540184021s 1062.51KB 1136.73KB 
[2023-10-11 22:23:05 (EET)] 1 index 0.072875022888184s 1062.51KB 1136.73KB 
[2023-10-11 22:23:06 (EET)] 1 index 0.055349111557007s 1062.51KB 1136.73KB 
[2023-10-11 22:23:08 (EET)] 1 index 0.086041927337646s 1062.38KB 1136.6KB 
[2023-10-11 22:23:08 (EET)] 1 index 0.07534384727478s 1062.51KB 1136.73KB 
[2023-10-11 22:23:10 (EET)] 1 index 0.11438393592834s 1062.38KB 1136.6KB 
[2023-10-11 22:23:10 (EET)] 1 index 0.069589138031006s 1062.51KB 1136.73KB 
[2023-10-11 22:23:11 (EET)] 1 index 0.097043037414551s 1062.38KB 1136.6KB 
[2023-10-11 22:23:12 (EET)] 1 index 0.089428186416626s 1062.38KB 1136.6KB 
[2023-10-11 22:23:12 (EET)] 1 index 0.10743284225464s 1062.38KB 1136.6KB 
[2023-10-11 22:23:12 (EET)] 1 index 0.10890603065491s 1062.38KB 1136.6KB 
[2023-10-11 22:23:13 (EET)] 1 index 0.099408864974976s 1062.38KB 1136.6KB 
[2023-10-11 22:23:13 (EET)] 1 index 0.10285401344299s 1062.38KB 1136.6KB 
[2023-10-11 22:23:13 (EET)] 1 index 0.10850119590759s 1062.38KB 1136.6KB 
[2023-10-11 22:23:22 (EET)] 1 index 0.11428809165955s 1062.51KB 1136.73KB 
[2023-10-11 22:23:26 (EET)] 1 index 0.070931911468506s 1062.51KB 1136.73KB 
[2023-10-11 22:23:32 (EET)] 1 index 0.077526092529297s 1062.38KB 1136.6KB 
[2023-10-11 22:23:54 (EET)] 1 index 0.098319053649902s 1062.38KB 1136.6KB 
[2023-10-11 22:24:05 (EET)] 1 index 0.10589218139648s 1062.51KB 1136.73KB 
[2023-10-12 09:17:35 (EET)] 1 index 0.60619115829468s 1063.05KB 1137.26KB 
[2023-10-12 09:19:46 (EET)] 1 user-account/settings 0.15762591362s 1055.38KB 1091.65KB 
[2023-10-12 09:19:49 (EET)] 1 index 0.13198304176331s 1065.8KB 1137.96KB 
[2023-10-12 09:19:52 (EET)] 1 index 0.061929941177368s 1065.74KB 1137.9KB 
[2023-10-12 09:19:54 (EET)] 1 user-account/bookmarks 0.10707998275757s 983.2KB 1066.1KB 
[2023-10-12 09:19:57 (EET)] 1 user-account/settings 0.06768798828125s 1055.45KB 1091.71KB 
[2023-10-12 09:20:03 (EET)] 1 index 0.14396119117737s 1067.56KB 1137.98KB 
[2023-10-12 09:20:18 (EET)] 1 user-account/settings 0.099234819412231s 1055.38KB 1091.65KB 
[2023-10-12 09:31:10 (EET)] 1 user-account/settings 0.071735143661499s 1061.1KB 1121.62KB 
[2023-10-12 09:31:12 (EET)] 1 index 0.16935396194458s 1073.18KB 1144.89KB 
[2023-10-12 09:31:16 (EET)] 1 index 0.13076901435852s 1078.87KB 1150.58KB 
[2023-10-12 09:31:23 (EET)] 1 acc/trs/inc 0.18804407119751s 1159.15KB 1231.78KB 
[2023-10-12 09:31:26 (EET)] 1 user-account/bookmarks 0.067568063735962s 1054.14KB 1090.38KB 
[2023-10-12 09:31:27 (EET)] 1 acc/trs/inc 0.13843488693237s 1159.04KB 1231.74KB 
[2023-10-12 09:31:31 (EET)] 1 user-account/bookmarks 0.064940929412842s 1054.62KB 1090.87KB 
[2023-10-12 09:31:32 (EET)] 1 index 0.11312699317932s 1073.67KB 1145.38KB 
[2023-10-12 09:34:31 (EET)] 1 index 0.13474798202515s 1080.38KB 1152.12KB 
[2023-10-12 09:34:51 (EET)] 1 user-account/settings 0.11791396141052s 1062.23KB 1122.78KB 
[2023-10-12 09:36:02 (EET)] 1 user-account/settings 0.16678810119629s 1062.41KB 1127.06KB 
[2023-10-12 09:36:09 (EET)] 1 user-account/settings 0.1463520526886s 1062.42KB 1127.07KB 
[2023-10-12 09:36:24 (EET)] 1 user-account/settings 0.10145211219788s 1062.42KB 1127.14KB 
[2023-10-12 09:36:31 (EET)] 1 user-account/settings 0.15490508079529s 1062.4KB 1127.11KB 
[2023-10-12 09:48:02 (EET)] 1 user-account/settings 0.16482496261597s 1060.58KB 1125.33KB 
[2023-10-12 09:48:53 (EET)] 1 user-account/settings 0.10101103782654s 1060.74KB 1125.49KB 
[2023-10-12 09:48:56 (EET)] 1 user-account/settings 0.052460908889771s 1041.15KB 1077.42KB 
[2023-10-12 09:49:33 (EET)] 1 user-account/settings 0.041101217269897s 1044.94KB 1081.2KB 
[2023-10-12 09:49:43 (EET)] 1 user-account/settings 0.1312689781189s 1060.2KB 1124.94KB 
[2023-10-12 09:49:43 (EET)] 1 user-account/settings 0.057294130325317s 1060.33KB 1125.07KB 
[2023-10-12 09:49:44 (EET)] 1 user-account/settings 0.061443090438843s 1060.33KB 1125.07KB 
[2023-10-12 09:54:23 (EET)] 1 user-account/settings 0.082823991775513s 1059.18KB 1123.93KB 
[2023-10-12 09:54:26 (EET)] 1 user-account/settings 0.081241130828857s 1059.05KB 1123.79KB 
[2023-10-12 09:55:44 (EET)] 1 user-account/settings 0.11108589172363s 1059.14KB 1123.88KB 
[2023-10-12 09:55:46 (EET)] 1 user-account/bookmarks 0.073570966720581s 1051.95KB 1088.2KB 
[2023-10-12 09:55:48 (EET)] 1 index 0.069519996643066s 1058.29KB 1117.5KB 
[2023-10-12 09:55:52 (EET)] 1 acc/trs/inc 0.11705207824707s 1156.94KB 1229.1KB 
[2023-10-12 09:55:55 (EET)] 1 acc/trs/inc 0.1115288734436s 1157.53KB 1227.95KB 
[2023-10-12 09:55:57 (EET)] 1 index 0.057609081268311s 1058.69KB 1117.9KB 
[2023-10-12 09:55:59 (EET)] 1 user-account/settings 0.073704957962036s 1059.38KB 1124.12KB 
[2023-10-12 09:56:02 (EET)] 1 index 0.056203842163086s 1059.69KB 1120.93KB 
[2023-10-12 09:57:25 (EET)] 1 index 0.10643219947815s 1065.41KB 1126.65KB 
[2023-10-12 09:57:48 (EET)] 1 index 0.087924003601074s 1065.79KB 1127KB 
[2023-10-12 09:58:34 (EET)] 1 index 0.11038517951965s 1065.94KB 1127.14KB 
[2023-10-12 09:58:42 (EET)] 1 index 0.10639691352844s 1065.9KB 1127.11KB 
[2023-10-12 09:58:45 (EET)] 1 user-account/settings 0.07651686668396s 1059.83KB 1124.58KB 
[2023-10-12 09:58:46 (EET)] 1 user-account/settings 0.05853796005249s 1059.96KB 1124.7KB 
[2023-10-12 09:58:47 (EET)] 1 index 0.08233904838562s 1069.5KB 1143.78KB 
[2023-10-12 10:00:10 (EET)] 1 index 0.071500062942505s 977.5KB 1056.07KB 
[2023-10-12 10:00:44 (EET)] 1 index 0.12827587127686s 977.47KB 1056.04KB 
[2023-10-12 10:00:48 (EET)] 1 index 0.039113998413086s 977.5KB 1056.07KB 
[2023-10-12 10:01:05 (EET)] 1 index 0.12901782989502s 977.5KB 1056.07KB 
[2023-10-12 10:01:21 (EET)] 1 index 0.13044595718384s 973.19KB 1056.04KB 
[2023-10-12 10:01:24 (EET)] 1 index 0.03368091583252s 973.19KB 1056.04KB 
[2023-10-12 10:01:26 (EET)] 1 user-account/bookmarks 0.041757106781006s 961.02KB 1049.31KB 
[2023-10-12 10:01:29 (EET)] 1 user-account 0.042876958847046s 962.6KB 1049.34KB 
[2023-10-12 10:01:31 (EET)] 1 user-account/settings 0.038710117340088s 968.15KB 1049.3KB 
[2023-10-12 10:01:35 (EET)] 1 user-account/settings 0.045698881149292s 1040.81KB 1077.07KB 
[2023-10-12 10:01:37 (EET)] 1 index 0.039910793304443s 974.58KB 1050.89KB 
[2023-10-12 10:04:07 (EET)] 1 acc/trs/lst 0.10705089569092s 1192.83KB 1502.52KB 
[2023-10-12 10:04:10 (EET)] 1 index 0.040351152420044s 974.55KB 1050.86KB 
[2023-10-12 10:04:14 (EET)] 1 index 0.049788951873779s 976.9KB 1049.86KB 
[2023-10-12 10:04:17 (EET)] 1 index 0.07407283782959s 1057.7KB 1116.91KB 
[2023-10-12 10:04:20 (EET)] 1 acc/trs/inc 0.11470699310303s 1157.51KB 1227.82KB 
[2023-10-12 10:05:58 (EET)] 1 index 0.046681880950928s 977.89KB 1050.86KB 
[2023-10-12 10:06:02 (EET)] 1 acc/trs/lst 0.10489511489868s 1196.14KB 1505.82KB 
[2023-10-12 10:06:46 (EET)] 1 acc/trs/lst 0.17348694801331s 1196.26KB 1506.08KB 
[2023-10-12 10:06:50 (EET)] 1 acc/trs/lst 0.0902419090271s 1196.26KB 1506.08KB 
[2023-10-12 10:10:02 (EET)] 1 index 0.040796995162964s 977.89KB 1050.86KB 
[2023-10-12 10:10:06 (EET)] 1 hr/att/in 0.063882112503052s 1124.06KB 1194.46KB 
[2023-10-12 10:10:06 (EET)] 1 hr/att/loop 0.046499967575073s 1127.54KB 1195.96KB 
[2023-10-12 10:10:07 (EET)] 1 hr/att/out 0.068705081939697s 971.53KB 1049.91KB 
[2023-10-12 10:10:33 (EET)] 1 hr/att/loop 0.12202787399292s 1127.7KB 1196.12KB 
[2023-10-12 10:10:42 (EET)] 1 hr/att/loop 0.043157815933228s 1127.7KB 1196.12KB 
